[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],US 1120 Balance Sheet_Name,[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
1,资产类,资产类,Asset,,,Yes,,,,,,,,,,,,
100,流动资产,流动资产,Asset,,,Yes,,1,,,,,,,,,,
1001,库存现金,库存现金,Asset,,,Yes,,100,,,,,,,,,,
100101,零用现金,零用现金,Asset,,Yes,No,CB_ASSET_ACCT,1001,,,,,,,,,,
100102,在途零用现金,在途零用现金,Asset,,Yes,No,CB_CASHTRANSFER_ACCT,1001,,,,,,,,,,
1002,银行存款,银行存款,Asset,,,Yes,,100,,,,,,,,,,
100201,支票账户,支票账户,Asset,,Yes,No,B_ASSET_ACCT,1002,,,,,,,,,,
100202,在途支票,在途支票,Asset,,Yes,No,B_INTRANSIT_ACCT,1002,,,,,,,,,,
100203,未确认收款的支票,未确认收款的支票,Asset,,Yes,No,B_UNIDENTIFIED_ACCT,1002,,,,,,,,,,
100204,未分配收款的支票,未分配收款的支票,Asset,,Yes,No,B_UNALLOCATEDCASH_ACCT,1002,,,,,,,,,,
1012,其他货币资金,其他货币资金,Asset,,,Yes,,100,,,,,,,,,,
101201,银行汇票,银行汇票,Asset,,,No,,1012,,,,,,,,,,
101202,银行本票,银行本票,Asset,,,No,,1012,,,,,,,,,,
101203,信用卡,信用卡,Asset,,,No,,1012,,,,,,,,,,
101204,信用证保证金,信用证保证金,Asset,,,No,,1012,,,,,,,,,,
101205,存出投资款,存出投资款,Asset,,,No,,1012,,,,,,,,,,
101206,外埠存款,外埠存款,Asset,,,No,,1012,,,,,,,,,,
1121,应收票据,应收票据,Asset,,,Yes,,100,,,,,,,,,,
112101,银行承兑汇票,银行承兑汇票,Asset,,,No,,1121,,,,,,,,,,
112102,商业承兑汇票,商业承兑汇票,Asset,,,No,,1121,,,,,,,,,,
1122,应收账款,应收账款,Asset,,,Yes,,100,,,,,,,,,,
112201,应收账款-贸易,应收账款-贸易,Asset,,Yes,No,C_RECEIVABLE_ACCT,1122,,,,,,,,,,
112202,应收账款-服务,应收账款-服务,Asset,,Yes,No,C_RECEIVABLE_SERVICES_ACCT,1122,,,,,,,,,,
112203,未开票应收,未开票应收,Asset,,Yes,No,NOTINVOICEDRECEIVABLES_ACCT,1122,,,,,,,,,,
1123,预付账款,预付账款,Asset,,,No,,100,,,,,,,,,,
1131,应收股利,应收股利,Asset,,,No,,100,,,,,,,,,,
1132,应收利息,应收利息,Asset,,,No,,100,,,,,,,,,,
1221,其他应收款,其他应收款,Asset,,,Yes,,100,,,,,,,,,,
122101,其他应收款-供应商,其他应收款-供应商,Asset,,,No,,1221,,,,,,,,,,
122102,其他应收款-客户,其他应收款-客户,Asset,,,No,,1221,,,,,,,,,,
122103,其他应收款-政府,其他应收款-政府,Asset,,,No,,1221,,,,,,,,,,
122104,其他应收款-公司间,其他应收款-公司间,Asset,,Yes,No,INTERCOMPANYDUEFROM_ACCT,1221,,,,,,,,,,
122105,其他应收款-个人,其他应收款-个人,Asset,,,No,,1221,,,,,,,,,,
122106,其他应收款-第三方,其他应收款-第三方,Asset,,,No,,1221,,,,,,,,,,
1222,税应收,税应收,Asset,,Yes,No,T_RECEIVABLES_ACCT,100,,,,,,,,,,
1231,坏账准备,坏账准备,Asset,,,No,,100,,,,,,,,,,
1295,项目资产,项目资产,Asset,,Yes,No,PJ_ASSET_ACCT,100,,,,,,,,,,
1296,项目在制品,项目在制品,Asset,,Yes,No,PJ_WIP_ACCT,100,,,,,,,,,,
1301,待摊费用,待摊费用,Asset,,Yes,No,V_PREPAYMENT_ACCT,100,,,,,,,,,,
1302,职员待摊费用,职员待摊费用,Asset,,Yes,No,E_PREPAYMENT_ACCT,100,,,,,,,,,,
1401,材料采购 ,材料采购 ,Asset,,Yes,No,P_ASSET_ACCT,100,,,,,,,,,,
1402,在途物资,在途物资,Asset,,,No,,100,,,,,,,,,,
1403,原材料,原材料,Asset,,,No, ,100,,,,,,,,,,
1404,材料成本差异,材料成本差异,Asset,,,No,,100,,,,,,,,,,
1405,库存商品,库存商品,Asset,,,No, ,100,,,,,,,,,,
1406,发出商品,发出商品,Asset,,,No,,100,,,,,,,,,,
1407,商品进销差价,商品进销差价,Asset,,,No,,100,,,,,,,,,,
1408,委托加工物资,委托加工物资,Asset,,,No,,100,,,,,,,,,,
1409,作业现场库存,作业现场库存,Asset,,Yes,No,P_FLOORSTOCK_ACCT,100,,,,,,,,,,
1411,周转材料,周转材料,Asset,,,Yes,,100,,,,,,,,,,
141101,包装物,包装物,Asset,,,No,,1411,,,,,,,,,,
141102,低值易耗品,低值易耗品,Asset,,,No,,1411,,,,,,,,,,
1412,在制品,在制品,Asset,,,,P_WIP_ACCT,100,,,,,,,,,,
1471,存货跌价准备,存货跌价准备,Asset,,Yes,No,W_INVENTORY_ACCT,100,,,,,,,,,,
150,长期资产,长期资产,Asset,,,Yes,,1,,,,,,,,,,
1511,长期股权投资,长期股权投资,Asset,,,Yes,,150,,,,,,,,,,
151101,股票投资,股票投资,Asset,,,No,,1511,,,,,,,,,,
151102,其他股权投资,其他股权投资,Asset,,,No,,1511,,,,,,,,,,
